Edad;Sexo;Periodo;Total
De 35 a 39 años;Hombres;2006;5,01
De 35 a 39 años;Mujeres;2021;15,14
De 35 a 39 años;Mujeres;2020;16,68
De 35 a 39 años;Mujeres;2019;13,46
De 35 a 39 años;Mujeres;2018;14,79
De 35 a 39 años;Mujeres;2017;16,84
De 35 a 39 años;Mujeres;2016;18,97
De 35 a 39 años;Mujeres;2015;20,66
De 35 a 39 años;Mujeres;2014;22,61
De 35 a 39 años;Mujeres;2013;24,33
De 35 a 39 años;Mujeres;2012;22,71
De 35 a 39 años;Mujeres;2011;19,95
De 35 a 39 años;Mujeres;2010;19,85
De 35 a 39 años;Mujeres;2009;16,63
De 35 a 39 años;Mujeres;2008;11,41
De 35 a 39 años;Mujeres;2007;9,43
De 35 a 39 años;Mujeres;2006;9,95
De 40 a 44 años;Ambos sexos;2021;11,13
De 40 a 44 años;Ambos sexos;2020;12,11
De 40 a 44 años;Ambos sexos;2019;11,46
De 40 a 44 años;Ambos sexos;2018;12,01
De 40 a 44 años;Ambos sexos;2017;13,96
De 40 a 44 años;Ambos sexos;2016;16,31
De 40 a 44 años;Ambos sexos;2015;18,26
De 40 a 44 años;Ambos sexos;2014;21,09
De 40 a 44 años;Ambos sexos;2013;22,55
De 40 a 44 años;Ambos sexos;2012;21,89
De 40 a 44 años;Ambos sexos;2011;18,92
De 40 a 44 años;Ambos sexos;2010;17,1
De 40 a 44 años;Ambos sexos;2009;15,17
De 40 a 44 años;Ambos sexos;2008;9,7
De 40 a 44 años;Ambos sexos;2007;6,71
De 40 a 44 años;Ambos sexos;2006;6,88
De 40 a 44 años;Hombres;2021;9,06
De 40 a 44 años;Hombres;2020;9,87
De 40 a 44 años;Hombres;2019;9,22
De 40 a 44 años;Hombres;2018;9,62
De 40 a 44 años;Hombres;2017;11,18
De 40 a 44 años;Hombres;2016;14,24
De 40 a 44 años;Hombres;2015;15,7
De 40 a 44 años;Hombres;2014;19,16
De 40 a 44 años;Hombres;2013;21,42
De 40 a 44 años;Hombres;2012;20,7
De 40 a 44 años;Hombres;2011;17,92
De 40 a 44 años;Hombres;2010;16,68
De 40 a 44 años;Hombres;2009;14,64
De 40 a 44 años;Hombres;2008;7,82
De 40 a 44 años;Hombres;2007;4,73
